MATPOWER节点编号,电压变化量(p.u.),无功-电压灵敏度
0,0.0,-0.0
1,3.358870626579691e-05,-0.0003358870626579691
2,0.00021252805359950333,-0.0021252805359950333
3,0.000344165829028964,-0.0034416582902896398
4,0.00048059455374005466,-0.004805945537400547
5,0.0009660096904420268,-0.009660096904420268
6,0.001378267352760587,-0.013782673527605871
7,0.0013856322907433993,-0.013856322907433993
8,0.0013952794471048247,-0.013952794471048247
9,0.0014042487817463867,-0.014042487817463867
10,0.0014055760034878961,-0.014055760034878961
11,0.0014078945203397364,-0.014078945203397364
12,0.001417390701713761,-0.01417390701713761
13,0.0014209189808139788,-0.014209189808139788
14,0.0014231216285466308,-0.014231216285466308
15,0.001425256814749476,-0.01425256814749476
16,0.0014284266742522478,-0.014284266742522478
17,0.0014293755446100898,-0.014293755446100898
18,3.360665561824572e-05,-0.0003360665561824572
19,3.372841847892882e-05,-0.00033728418478928823
20,3.3752406091713816e-05,-0.00033752406091713816
21,3.377412058769291e-05,-0.00033774120587692913
22,0.00021332159175313503,-0.0021332159175313503
23,0.0002148003269969445,-0.002148003269969445
24,0.00021553961025799762,-0.002155396102579976
25,0.0009680931611419918,-0.009680931611419918
26,0.0009708683453067968,-0.009708683453067968
27,0.0009832556827208405,-0.009832556827208405
28,0.0009921645121439004,-0.009921645121439004
29,0.0009960276112294109,-0.009960276112294109
30,0.0010005684135044879,-0.010005684135044879
31,0.0010015676331496248,-0.010015676331496248
32,0.0010018773482536325,-0.010018773482536325
