MATPOWER节点编号,topo_distance,电气距离,电压变化量(p.u.),绝对电压变化量(p.u.)
0,6,3.2236094416054857,0.0,0.0
1,5,3.1201210847724585,3.358870626579691e-05,3.358870626579691e-05
2,4,2.566857847244426,0.00021252805359950333,0.00021252805359950333
3,3,2.1561256230398964,0.000344165829028964,0.000344165829028964
4,2,1.728443474710088,0.00048059455374005466,0.00048059455374005466
5,1,0.6464961562144047,0.0009660096904420268,0.0009660096904420268
6,0,0.0,0.001378267352760587,0.001378267352760587
7,1,0.7492409292076883,0.0013856322907433993,0.0013856322907433993
8,2,2.017507462709223,0.0013952794471048247,0.0013952794471048247
9,3,3.297169918202858,0.0014042487817463867,0.0014042487817463867
10,4,3.5042364775503296,0.0014055760034878961,0.0014055760034878961
11,4,3.898573642930414,0.0014078945203397364,0.0014078945203397364
12,5,5.766473265501178,0.001417390701713761,0.001417390701713761
13,4,5.637109030925373,0.0014209189808139788,0.0014209189808139788
14,3,4.845934587455414,0.0014231216285466308,0.0014231216285466308
15,4,5.77004967227981,0.001425256814749476,0.001425256814749476
16,5,7.920250128051318,0.0014284266742522478,0.0014284266742522478
17,6,7.425495578635544,0.0014293755446100898,0.0014293755446100898
18,4,3.3468108507523104,3.360665561824572e-05,3.360665561824572e-05
19,3,4.207395622033918,3.372841847892882e-05,3.372841847892882e-05
20,2,3.5776680539538788,3.3752406091713816e-05,3.3752406091713816e-05
21,3,4.752857613131461,3.377412058769291e-05,3.377412058769291e-05
22,5,3.11332864243846,0.00021332159175313503,0.00021332159175313503
23,6,4.257543137190209,0.0002148003269969445,0.0002148003269969445
24,6,4.378743904210651,0.00021553961025799762,0.00021553961025799762
25,2,0.8743131002725674,0.0009680931611419918,0.0009680931611419918
26,3,1.19322959404484,0.0009708683453067968,0.0009708683453067968
27,4,2.605064106301854,0.0009832556827208405,0.0009832556827208405
28,5,3.6716371230241034,0.0009921645121439004,0.0009921645121439004
29,6,4.2411794831695095,0.0009960276112294109,0.0009960276112294109
30,7,5.611151877051956,0.0010005684135044879,0.0010005684135044879
31,8,6.087997617307649,0.0010015676331496248,0.0010015676331496248
32,7,6.718388797448996,0.0010018773482536325,0.0010018773482536325
